id;Data;Temp. Retal;Media T Retal;Termograma ;Media Termograma;Foto;Temp. Ambiente;Monta;Sinal de Cio;Lote;Coord_X;Coord_Y
1568;13.02.2025;38,8;38,6;36,2;37,511;431.0;29.0;;;Rosa;37.0;31.0
1568;14.02.2025;38,7;38,994;38,2;37,783;480.0;28.0;;;Rosa;37.0;29.0
1568;15.02.2025;39,1;39;38;37,415;526.0;28.0;;;Rosa;41.0;40.0
1568;16.02.2025;38,9;38,685;37,5;37,52;557.0;28.0;;;Rosa;29.0;39.0
1568;17.02.2025;40,2;39,075;40,3;38,075;614.0;33.0;;;Rosa;41.0;37.0
1568;18.02.2025;39,2;39,005;36,8;36,3;631.0;30.0;true;;Rosa;40.0;31.0
1568;19.02.2025;38,9;38,895;38,6;37,505;696.0;30.0;;;Rosa;45.0;45.0
1568;20.02.2025;39,6;39,31;38,6;38,805;707.0;31.0;;;Rosa;44.0;38.0
1568;21.02.2026;38,8;38,9;37,4;37,22;776.0;33.0;;;Rosa;38.0;30.0
1568;22.02.2027;38,8;38,61;37,5;37,2;793.0;31.0;;;Rosa;43.0;36.0
1568;23.02.2028;39,1;38,94;38,5;37,91;848.0;33.0;;;Rosa;37.0;31.0
1568;24.02.2029;39,1;38,905;38,5;37,345;895.0;31.0;;;Rosa;41.0;38.0
1568;25.02.2030;39,1;38,905;37,3;36,275;906.0;31.0;;;Rosa;39.0;34.0
1568;26.02.2031;39,8;39,315;36,8;36,9;952.0;31.0;;;Rosa;38.0;37.0
1568;27.02.2032;39,4;39,16666667;38,7;37,92666667;1017.0;31.0;;;Rosa;41.0;38.0
1568;28.02.2025;39,1;39,1625;38,3;37,95;1060.0;32.0;;;Rosa;41.0;38.0
1568;01.03.2025;39,1;39,15882353;36,7;37,87647059;1101.0;33.0;;;Rosa;40.0;36.0
1568;02.03.2025;38;39,09444444;37,5;37,85555556;1124.0;27.0;;;Rosa;37.0;37.0
1568;03.03.2025;39;39,08947368;38,4;37,88421053;1185.0;33.0;;;Rosa;42.0;39.0
1568;04.03.2025;39;39,085;37,8;37,88;1228.0;32.0;;;Rosa;41.0;37.0
1568;05.03.2025;38,9;39,07619048;38;37,88571429;1264.0;30.0;;;Rosa;42.0;45.0
1568;06.03.2025;38;38,99867137;37,6;37,5725056;1309.0;32.0;;;Rosa;39.0;35.0
1602;13.02.2025;38,8;38,6;38,2;37,511;414.0;29.0;true;;Rosa;36.0;34.0
1602;14.02.2025;39,4;38,994;38,4;37,783;468.0;28.0;;;Rosa;41.0;34.0
1602;15.02.2025;38,8;39;37,9;37,415;484.0;28.0;true;;Rosa;43.0;36.0
1602;16.02.2025;38,8;38,685;36,8;37,52;530.0;28.0;;;Rosa;41.0;37.0
1602;17.02.2026;39,2;39,075;37,4;38,075;609.0;33.0;true;;Rosa;49.0;27.0
1602;18.02.2025;39,3;39,005;35,2;36,3;624.0;30.0;true;;Rosa;45.0;30.0
1602;19.02.2025;39,4;38,895;38,5;37,505;697.0;30.0;;;Rosa;41.0;34.0
1602;20.02.2025;39,6;39,31;38,9;38,805;708.0;31.0;;;Rosa;41.0;39.0
1602;21.02.2026;39;38,9;37,3;37,22;777.0;33.0;;;Rosa;42.0;30.0
1602;22.02.2027;39,1;38,61;37,8;37,2;787.0;31.0;;;Rosa;42.0;33.0
1602;23.02.2028;38,9;38,94;37,8;37,91;860.0;33.0;;;Rosa;39.0;31.0
1602;24.02.2029;38,9;38,905;37,4;37,345;900.0;31.0;;;Rosa;46.0;33.0
1602;25.02.2030;39,3;38,905;36,7;36,275;938.0;31.0;;;Rosa;37.0;30.0
1602;26.02.2031;39,1;39,315;38,6;37,68;951.0;31.0;;;Rosa;45.0;43.0
1602;27.02.2032;39,8;39,16;38;37,66;1012.0;31.0;;;Rosa;45.0;39.0
1602;28.02.2033;39,6;39,1875;37,9;37,64;1063.0;32.0;;;Rosa;40.0;40.0
1602;01.03.2025;39,3;39,19411765;36;37,57647059;1093.0;33.0;;;Rosa;47.0;33.0
1602;02.03.2025;38,1;39,13333333;37,6;37,57777778;1123.0;27.0;;;Rosa;41.0;33.0
1602;03.03.2025;39,3;39,14210526;39;37,65263158;1178.0;33.0;;;Rosa;44.0;41.0
1602;04.03.2025;39,4;39,155;37,2;37,63;1223.0;32.0;;true;Rosa;40.0;50.0
1602;05.03.2025;39,6;39,17619048;39,3;37,70952381;1258.0;30.0;;;Rosa;45.0;39.0
1602;06.03.2025;39,2;39,01367842;38,1;37,52335256;1303.0;32.0;;;Rosa;44.0;34.0
1605;12.02.2025;39,4;39,1;36,5;36,56;331.0;31.0;;;Rosa;38.0;27.0
1605;13.02.2025;39;38,6;38,5;37,511;391.0;29.0;;;Rosa;44.0;41.0
1605;14.02.2025;39,2;38,994;38,5;37,783;456.0;28.0;;;Rosa;45.0;35.0
1605;15.02.2025;39,1;39;37,4;37,415;510.0;28.0;;;Rosa;46.0;31.0
1605;16.02.2025;38,6;38,685;36,5;37,52;533.0;28.0;;;Rosa;40.0;36.0
1605;17.02.2026;38,8;39,075;38,1;38,075;599.0;33.0;;;Rosa;42.0;32.0
1605;18.02.2025;38,6;39,005;37,7;36,3;633.0;30.0;;;Rosa;39.0;38.0
1605;19.02.2025;39,1;38,895;37,3;37,505;695.0;30.0;;;Rosa;45.0;30.0
1605;20.02.2025;39,8;39,31;39;38,805;719.0;31.0;;;Rosa;33.0;41.0
1605;21.02.2026;38,9;38,9;36,6;37,22;766.0;33.0;;;Rosa;31.0;28.0
1605;22.02.2027;38,8;38,61;35,5;37,2;791.0;31.0;;;Rosa;46.0;32.0
1605;23.02.2028;38,8;38,94;37,6;37,91;847.0;33.0;;;Rosa;40.0;35.0
1605;24.02.2029;38,5;38,905;37,2;37,345;884.0;31.0;;;Rosa;38.0;41.0
1605;25.02.2030;39;38,905;35;36,275;940.0;31.0;;;Rosa;46.0;28.0
1605;26.02.2031;39,5;39,315;38,1;37,68;964.0;31.0;;;Rosa;39.0;34.0
1605;27.02.2032;39,9;39,0625;38,4;37,36875;1020.0;31.0;;;Rosa;43.0;37.0
1605;28.02.2033;39,4;39,08235294;36,3;37,30588235;1061.0;32.0;;;Rosa;43.0;48.0
1605;01.03.2025;38,9;39,07222222;38,3;37,36111111;1105.0;33.0;;;Rosa;44.0;43.0
1605;02.03.2025;38,1;39,02105263;36,1;37,29473684;1112.0;27.0;;;Rosa;38.0;31.0
1605;03.03.2025;39,3;39,035;39,1;37,385;1180.0;33.0;;;Rosa;38.0;43.0
1605;04.03.2025;39,2;39,04285714;37,5;37,39047619;1216.0;32.0;;true;Rosa;43.0;36.0
1605;05.03.2025;38,6;39,02272727;35,7;37,31363636;1260.0;30.0;;;Rosa;15.0;43.0
1605;06.03.2025;39,1;38,97512915;38,3;37,42683776;1301.0;32.0;;;Rosa;43.0;37.0
1612;13.02.2025;38,8;38,6;36,5;37,511;415.0;29.0;;;Rosa;46.0;31.0
1612;14.02.2025;39,2;38,994;38,5;37,783;453.0;28.0;;;Rosa;38.0;33.0
1612;15.02.2025;38,9;39;39,3;37,415;511.0;28.0;;;Rosa;44.0;30.0
1612;16.02.2025;38,5;38,685;37,4;37,52;549.0;28.0;;;Rosa;39.0;30.0
1612;17.02.2025;38,8;39,075;38,9;38,075;600.0;33.0;true;?;Rosa;50.0;39.0
1612;18.02.2025;39;39,005;37,3;36,3;620.0;30.0;;;Rosa;42.0;27.0
1612;19.02.2025;39,1;38,895;39,5;37,505;690.0;30.0;true;;Rosa;38.0;34.0
1612;20.02.2025;39,2;39,31;38,9;38,805;714.0;31.0;;;Rosa;41.0;34.0
1612;21.02.2026;38,8;38,9;37,8;37,22;764.0;33.0;;;Rosa;40.0;37.0
1612;22.02.2027;39;38,61;37,6;37,2;788.0;31.0;true;;Rosa;45.0;38.0
1612;23.02.2028;38,7;38,94;38;37,91;849.0;33.0;;;Rosa;37.0;37.0
1612;24.02.2029;38,9;38,905;37,8;37,345;898.0;31.0;;;Rosa;42.0;36.0
1612;25.02.2030;39,1;38,905;36,1;36,275;939.0;31.0;;;Rosa;39.0;29.0
1612;26.02.2031;39,1;39,315;38,8;37,68;959.0;31.0;;;Rosa;38.0;34.0
1612;27.02.2032;39;38,94;38,5;38,06;1016.0;31.0;;;Rosa;39.0;29.0
1612;28.02.2033;39,1;38,95;38,7;38,1;1055.0;32.0;;;Rosa;42.0;41.0
1612;01.03.2025;39,1;38,95882353;38;38,09411765;1094.0;33.0;;true;Rosa;39.0;34.0
1612;02.03.2025;38,5;38,93333333;37,8;38,07777778;1122.0;27.0;;;Rosa;45.0;44.0
1612;03.03.2025;39,2;38,94736842;37,8;38,06315789;1174.0;33.0;;;Rosa;41.0;31.0
1612;04.03.2025;38,8;38,94;38,6;38,09;1215.0;32.0;;;Rosa;44.0;35.0
1612;05.03.2025;39;38,94285714;37,9;38,08095238;1261.0;30.0;;;Rosa;36.0;35.0
1612;06.03.2025;39,1;38,94054202;38,7;37,67190503;1305.0;32.0;;;Rosa;41.0;38.0
2246;13.02.2025;37,7;38,6;38,3;37,511;365.0;29.0;true;;Rosa;40.0;37.0
2246;14.02.2025;38,9;38,994;34,7;37,783;474.0;28.0;;;Rosa;40.0;24.0
2246;15.02.2025;39,1;39;37,8;37,415;525.0;28.0;;;Rosa;46.0;32.0
2246;16.02.2025;38,7;38,685;38;37,52;565.0;28.0;;;Rosa;36.0;35.0
2246;17.02.2025;39,1;39,075;37,2;38,075;608.0;33.0;true;;Rosa;47.0;47.0
2246;18.02.2025;39;39,005;34,8;36,3;632.0;30.0;;;Rosa;36.0;31.0
2246;19.02.2025;38,4;38,895;35,3;37,505;682.0;30.0;;;Rosa;46.0;34.0
2246;20.02.2025;39,4;39,31;38,5;38,805;703.0;31.0;;;Rosa;44.0;39.0
2246;21.02.2026;38,6;38,9;38,2;37,22;760.0;33.0;;;Rosa;37.0;36.0
2246;22.02.2027;38,7;38,61;37,9;37,2;798.0;31.0;;;Rosa;47.0;26.0
2246;23.02.2028;38,7;38,94;37,3;37,91;859.0;33.0;true;;Rosa;42.0;33.0
2246;24.02.2029;39,4;38,905;37,1;37,345;903.0;31.0;;;Rosa;38.0;40.0
2246;25.02.2030;39;38,905;36,8;36,275;945.0;31.0;;;Rosa;36.0;35.0
2246;26.02.2031;39,3;39,315;37,3;37,68;967.0;31.0;;;Rosa;32.0;32.0
2246;27.02.2032;39,4;38,89333333;38,4;37,17333333;1005.0;31.0;;;Rosa;41.0;43.0
2246;28.02.2033;39,2;38,9125;38,7;37,26875;1057.0;32.0;;;Rosa;46.0;39.0
2246;01.02.2025;38,9;38,91176471;37,7;37,29411765;1106.0;33.0;;;Rosa;33.0;44.0
2246;02.03.2025;38,2;38,87222222;37,6;37,31111111;1125.0;27.0;;;Rosa;39.0;44.0
2246;03.03.2025;39,2;38,88947368;37,7;37,33157895;1187.0;33.0;;;Rosa;46.0;41.0
2246;04.03.2025;39;38,895;37,4;37,335;1230.0;32.0;;;Rosa;44.0;41.0
2246;05.03.2025;39;38,9;37,3;37,33333333;1273.0;30.0;;;Rosa;34.0;36.0
2246;06.03.2025;39,5;38,92444257;37,7;37,40910592;1315.0;32.0;;;Rosa;34.0;34.0
2353;13.02.2025;38,6;38,6;37,6;37,511;417.0;29.0;;;Rosa;43.0;39.0
2353;14.02.2025;39,4;38,994;38,2;37,783;454.0;28.0;;;Rosa;33.0;40.0
2353;15.02.2025;39;38,1;38,1;37,415;488.0;28.0;true;;Rosa;39.0;37.0
2353;16.02.2025;38,6;38,685;37,4;37,52;542.0;28.0;;;Rosa;36.0;29.0
2353;17.02.2025;39;39,075;37,2;38,075;604.0;33.0;;?;Rosa;38.0;36.0
2353;18.02.2025;39,1;39,005;37,4;36,3;618.0;30.0;;;Rosa;40.0;48.0
2353;19.02.2025;38,9;38,895;35,7;37,505;681.0;30.0;;;Rosa;46.0;30.0
2353;20.02.2025;38,1;39,31;38,7;38,805;712.0;31.0;;;Rosa;37.0;40.0
2353;21.02.2026;38,9;38,9;37,7;37,22;771.0;33.0;;;Rosa;47.0;35.0
2353;22.02.2027;38,9;38,61;37,5;37,2;795.0;31.0;;;Rosa;37.0;30.0
2353;23.02.2028;38,8;38,94;37,8;37,91;850.0;33.0;;;Rosa;41.0;38.0
2353;24.02.2029;38,2;38,905;37,5;37,345;891.0;31.0;;;Rosa;40.0;41.0
2353;25.02.2030;39,3;38,905;36,9;36,275;932.0;31.0;;;Rosa;45.0;28.0
2353;26.02.2031;39,2;39,315;37,1;37,68;948.0;31.0;;;Rosa;41.0;37.0
2353;27.02.2032;39,4;38,89333333;38;37,52;1008.0;31.0;;;Rosa;44.0;36.0
2353;28.02.2033;39,2;38,9125;38,7;37,59375;1058.0;32.0;true;;Rosa;45.0;38.0
2353;01.03.2025;38,9;38,91176471;38,2;37,62941176;1089.0;33.0;;;Rosa;43.0;41.0
2353;02.03.2025;38,1;38,86666667;36,9;37,58823529;1113.0;27.0;;;Rosa;52.0;53.0
2353;03.03.2025;39;38,87368421;38,3;37,62631579;1181.0;33.0;;;Rosa;47.0;40.0
2353;04.03.2025;39;38,88;37,7;37,63;1213.0;32.0;;;Rosa;40.0;35.0
2353;05.03.2025;38,9;38,88095238;37,9;37,64285714;1271.0;30.0;;;Rosa;42.0;42.0
2353;06.03.2025;38,9;38,87894768;38;37,51307476;1298.0;32.0;;;Rosa;41.0;38.0
2360;13.02.2025;38,2;38,6;38,1;37,511;382.0;29.0;true;;Rosa;46.0;36.0
2360;14.02.2025;39,2;38,994;37;37,783;475.0;28.0;;;Rosa;38.0;32.0
2360;15.02.2025;39,1;39;37,4;37,415;519.0;28.0;;;Rosa;41.0;33.0
2360;16.02.2025;38,8;38,685;37,8;37,52;558.0;28.0;true;;Rosa;46.0;37.0
