id;Data;Temp. Retal;Media T Retal;Termograma ;Media Termograma;Foto;Temp. Ambiente;Monta;Sinal de Cio;Lote
1568;13.02.2025;38,8;38,6;36,2;37,511;431;29;;;Rosa
1568;14.02.2025;38,7;38,994;38,2;37,783;480;28;;;Rosa
1568;15.02.2025;39,1;39;38;37,415;526;28;;;Rosa
1568;16.02.2025;38,9;38,685;37,5;37,52;557;28;;;Rosa
1568;17.02.2025;40,2;39,075;40,3;38,075;614;33;;?;Rosa
1568;18.02.2025;39,2;39,005;36,8;36,3;631;30;X;;Rosa
1568;19.02.2025;38,9;38,895;38,6;37,505;696;30;;;Rosa
1568;20.02.2025;39,6;39,31;38,6;38,805;707;31;;;Rosa
1568;21.02.2026;38,8;38,9;37,4;37,22;776;33;;;Rosa
1568;22.02.2027;38,8;38,61;37,5;37,2;793;31;;;Rosa
1568;23.02.2028;39,1;38,94;38,5;37,91;848;33;;;Rosa
1568;24.02.2029;39,1;38,905;38,5;37,345;895;31;;;Rosa
1568;25.02.2030;39,1;38,905;37,3;36,275;906;31;;;Rosa
1568;26.02.2031;39,8;39,315;36,8;36,9;952;31;;;Rosa
1568;27.02.2032;39,4;39,16666667;38,7;37,92666667;1017;31;;;Rosa
1568;28.02.2025;39,1;39,1625;38,3;37,95;1060;32;;;Rosa
1568;01.03.2025;39,1;39,15882353;36,7;37,87647059;1101;33;;;Rosa
1568;02.03.2025;38;39,09444444;37,5;37,85555556;1124;27;;;Rosa
1568;03.03.2025;39;39,08947368;38,4;37,88421053;1185;33;;;Rosa
1568;04.03.2025;39;39,085;37,8;37,88;1228;32;;;Rosa
1568;05.03.2025;38,9;39,07619048;38;37,88571429;1264;30;;;Rosa
1568;06.03.2025;38;38,99867137;37,6;37,5725056;1309;32 ;;;Rosa
1602;13.02.2025;38,8;38,6;38,2;37,511;414;29;X;;Rosa
1602;14.02.2025;39,4;38,994;38,4;37,783;468;28;;;Rosa
1602;15.02.2025;38,8;39;37,9;37,415;484;28;X;;Rosa
1602;16.02.2025;38,8;38,685;36,8;37,52;530;28;;;Rosa
1602;17.02.2026;39,2;39,075;37,4;38,075;609;33;X;;Rosa
1602;18.02.2025;39,3;39,005;35,2;36,3;624;30;X;;Rosa
1602;19.02.2025;39,4;38,895;38,5;37,505;697;30;;;Rosa
1602;20.02.2025;39,6;39,31;38,9;38,805;708;31;;;Rosa
1602;21.02.2026;39;38,9;37,3;37,22;777;33;;;Rosa
1602;22.02.2027;39,1;38,61;37,8;37,2;787;31;;;Rosa
1602;23.02.2028;38,9;38,94;37,8;37,91;860;33;;;Rosa
1602;24.02.2029;38,9;38,905;37,4;37,345;900;31;;;Rosa
